title,view,price,score,like,college,url
[OpenCV] 파이썬 딥러닝 영상처리 프로젝트 - 손흥민을 찾아라!,255,55000,4.6,,,https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%98%81%EC%83%81%EC%B2%98%EB%A6%AC-%EC%86%90%ED%9D%A5%EB%AF%BC
홍정모의 따라하며 배우는 C언어,1284,55000,4.9,,,https://www.inflearn.com/course/following-c
파이썬 알고리즘 문제풀이(코딩테스트 대비),924,66000,5.0,,,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98-%EB%AC%B8%EC%A0%9C%ED%92%80%EC%9D%B4-%EC%BD%94%EB%94%A9%ED%85%8C%EC%8A%A4%ED%8A%B8
실전! 스프링 부트와 JPA 활용2 - API 개발과 성능 최적화,1191,88000,5.0,,,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81%EB%B6%80%ED%8A%B8-JPA-API%EA%B0%9C%EB%B0%9C-%EC%84%B1%EB%8A%A5%EC%B5%9C%EC%A0%81%ED%99%94
SQL/DB(MySQL) 기본부터 파이썬/데이터분석 활용까지!,500,44000,4.7,,,https://www.inflearn.com/course/SQL-DB-MYSQL-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D
현존 최강 크롤링 기술: Scrapy와 Selenium 정복 ,466,44000,4.9,,,https://www.inflearn.com/course/Crawling-Scrapy-Selenium
Vue로 Nodebird SNS 만들기,246,66000,4.5,,,https://www.inflearn.com/course/Vue-nodebird-sns
단 두 장의 문서로 데이터 분석과 시각화 뽀개기,1161,45100,4.7,,,https://www.inflearn.com/course/%ED%8C%90%EB%8B%A4%EC%8A%A4-Pandas
함수형 프로그래밍과 JavaScript ES6+ 응용편,756,44000,5.0,,,https://www.inflearn.com/course/%ED%95%A8%EC%88%98%ED%98%95_ES6_%EC%9D%91%EC%9A%A9%ED%8E%B8
it 취업을 위한 알고리즘 문제풀이 (with C/C++) : 코딩테스트 대비,766,77000,4.9,,,https://www.inflearn.com/course/%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98
"Vue.js 중급 강좌 - 웹앱 제작으로 배워보는 Vue.js, ES6, Vuex",1735,49500,4.9,,,https://www.inflearn.com/course/vue-pwa-vue-js-%EC%A4%91%EA%B8%89
모던 안드로이드 - 코틀린과 Jetpack 활용,10,99000,-1,,,https://www.inflearn.com/course/%EB%AA%A8%EB%8D%98-%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C-%EC%BD%94%ED%8B%80%EB%A6%B0-%EC%A0%9C%ED%8A%B8%ED%8C%A9
코로나맵 개발자와 함께하는 지도서비스 만들기,69,33000,5.0,,,https://www.inflearn.com/course/%EC%BD%94%EB%A1%9C%EB%82%98%EB%A7%B5-%EC%A7%80%EB%8F%84%EC%84%9C%EB%B9%84%EC%8A%A4
"스프링 입문 - 코드로 배우는 스프링 부트, 웹 MVC, DB 접근 기술",1518,0,5.0,,,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-%EC%9E%85%EB%AC%B8-%EC%8A%A4%ED%94%84%EB%A7%81%EB%B6%80%ED%8A%B8
"더 자바, Java 8",200,55000,4.7,,,https://www.inflearn.com/course/the-java-java8
자바 머신러닝 weka(웨카) 중급,10,33000,-1,,,https://www.inflearn.com/course/%EC%9E%90%EB%B0%94-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-weka-%EC%A4%91%EA%B8%89
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part6: 웹 서버,129,44000,-1,,,https://www.inflearn.com/course/%EC%9C%A0%EB%8B%88%ED%8B%B0-MMORPG-%EA%B0%9C%EB%B0%9C-part6
