title,view,price,score,like,college,url
인공지능 및 기계학습 개론Ⅰ,13062,,,1804,,https://www.edwith.org/machinelearning1_17
컴퓨팅사고력 기반 교육과정 재구성의 실제,430,,,0,,https://www.edwith.org/computingthinking
보편적이지 않은 코딩,957,,,1,,https://www.edwith.org/tech4all21
웹 라이브러리 소개,501,,,1,,https://www.edwith.org/tech4all20
겁나 빠른 웹 레시피 (음악앱 만들기),604,,,4,,https://www.edwith.org/tech48
겁나 빠른 웹 레시피 (랜덤 이미지 생성기),272,,,0,,https://www.edwith.org/tech47
겁나 빠른 웹 레시피 (모션 그래픽 라이브러리 mojs),500,,,0,,https://www.edwith.org/tech46
겁나 빠른 웹 레시피 (Typeform),263,,,0,,https://www.edwith.org/tech45
겁나 빠른 웹 레시피 (사진 중심 웹사이트),522,,,12,,https://www.edwith.org/tech44
겁나 빠른 웹 레시피 (Parallax Scrolling),345,,,1,,https://www.edwith.org/tech43
겁나 빠른 웹 레시피 (Holy Grail Layout),181,,,0,,https://www.edwith.org/tech42
겁나 빠른 웹 레시피 (Tree),261,,,0,,https://www.edwith.org/tech41
겁나 빠른 웹 레시피 (기본 Tip),304,,,1,,https://www.edwith.org/tech40
비개발자를 위한 개발 세션 (입문: 웹 기본과 코딩 Tip),1372,,,66,,https://www.edwith.org/tech4all18
비개발자를 위한 개발 세션 (언어: Python&Ruby),1218,,,42,,https://www.edwith.org/tech4all17
C 프로그래밍 기초,8566,,,355,,https://www.edwith.org/knuswedu_cbasic
스크래치 활용 프로그래밍,2064,,,17,,https://www.edwith.org/knuswedu_scratch
기초 PYTHON 프로그래밍,20523,,,555,,https://www.edwith.org/sogang_python
[통찰의연결 특강] 인공지능 시대의 소프트웨어 교육,1279,,,11,,https://www.edwith.org/connectedinsights
1005 - iOS 앱개발 기초 - 화면 전환,689,,,0,,https://www.edwith.org/iosbasic_worldphotos
"2001 - iOS 앱 개발 중급 - 구조, Storyboard, ARC & MRC, Modern Obj-C",340,,,0,,https://www.edwith.org/iosadv_2001_app_arch
2000 - iOS-중급-오리엔테이션,285,,,0,,https://www.edwith.org/iosadv_2000_opening
1004 - iOS 앱개발 기초 - 테이블 뷰,431,,,0,,https://www.edwith.org/iosbasic_hr
소프트웨어 교육 전문가 양성 입문 STEP2.-2,1212,,,11,,https://www.edwith.org/swexpert_basic2_2
안드로이드 앱 개발 중급,1424,,,7,,https://www.edwith.org/android_adv
안드로이드 앱 개발 초급,5284,,,31,,https://www.edwith.org/android_basic
SW교육 전문가 양성 심화 과정(앱인벤터),1956,,,9,,https://www.edwith.org/swteacher_level2_app
디지털 시대의 새로운 역량,2668,,,48,,https://www.edwith.org/swedu_intro
소프트웨어 교육 전문가 양성 입문 STEP1.,7394,,,4,,https://www.edwith.org/swexpert_basic1
유니티5 게임 개발 입문,3760,,,85,,https://www.edwith.org/unity5_2015_001
1003 - iOS앱개발 기초 - MVC & Universal Application,358,,,0,,https://www.edwith.org/iosbasic_mvc
1002 - iOS앱개발 기초 - Objective-C,530,,,0,,https://www.edwith.org/isobaric_obj_c
1001 - iOS 앱 개발 기초,3078,,,16,,https://www.edwith.org/iosbasic
